Sl_No,CIN,Company_Name,Triggered_By,NCLT_Bench,Defunct,Date_Insolvency_Commencement,Date_Resolution_Order,Total_Admitted_Claims,Admitted_Claims_FC,Admitted_Claims_OC,Liquidation_Value,Realisable_FC,Realisable_OC,Liquidation_Flag
1110,U15541ML2013PTC008551,P.L. Industries Private Limited,CD,Guwahati,No,2024-01-12,2024-12-13,5.6512738,1.4688217,4.1824521,0.4604989,0.39,0.04,0
1111,U85110AS2007PTC008546,Ayursundra Hospitals (Guwahati) Private Limited,FC,Guwahati,No,2024-03-12,2024-12-20,113.7154024,62.5653756,51.1500268,64.4130674,62.5653756,51.1500268,0
1112,U25209WB2005PTC103944,Epitome Plast-O-Pack Private Limited,FC,Kolkata,No,2024-05-02,2024-12-13,5.9435286000000005,3.7212734,2.2222552,0.2117091,0.2075,0.0025,0
1113,U45400TN2010PTC075458,Hamsini Foundations Private Limited**,FC,Chennai,,2019-03-12,2025-01-21,,,,,,,0
1114,U45200KA2012PTC062908,Fortuna Buildcon India Private Limited,FC,Bengaluru,No,2019-08-09,2024-12-18,175.0978126,165.2634276,9.834385,20.18604505,49.9045576,0.4855161,0
1115,U70101WB1994PTC063557,Avani Towers Private Limited,FC,Kolkata,Yes,2019-10-15,2025-01-03,30.2003604,29.6521977,0.5481627,1.9465887,20.0396808,0.05,0
1116,U45400MH2013PTC249599,Latakisan Infra Private Limited**,FC,Mumbai,,2019-11-06,2025-01-07,,,,,,,0
1117,U92412TN2016PTC104926,Premier Futsal Management Private Limited,OC,Chennai,Yes,2020-01-31,2024-12-19,45.9289777,3.4542924,42.4746853,1.1014,2.804,0.01,0
1118,L74950DL1969PLC005126,Ajanta Offset And Packaging Limited ,OC,New Delhi,No,2020-02-04,2024-12-20,123.9039331,120.5777331,3.3262,44.63,46.6,1.65,0
1119,U45202KA2011PLC058788,Shree Aasharaya Infra-Con Limited,FC,Bengaluru,No,2021-04-06,2024-10-01,9.386806900000002,8.9355889,0.451218,30.57803475,9.7480889,0.7660306,0
1120,L15140GJ1992PLC017024,Kanel Industries Limited,FC,Ahmedabad,No,2021-12-03,2024-10-23,60.3128392,30.7208385,29.5920007,11.908,14.9625,0.3876067,0
1121,U17232AP1983PTC003966,Circar Jute Mills Private Limited,FC,Amaravati,Yes,2022-04-04,2025-01-16,43.1072705,40.4250857,2.6821848,11.8388126,21.3875,0.0268,0
1122,U45200TG2003PTC040886,Rki Builders Private Limited,OC,Hyderabad,No,2022-12-08,2025-01-29,119.4368502,57.0049091,62.4319411,10.6411838,10.3107844,0.0877631,0
1123,L25209TG1975PLC001942,Feno Plast Limited,FC,Hyderabad,No,2023-02-07,2025-01-22,90.2193596,45.3020647,44.9172949,31.3331712,45.3020647,30.7261735,0
1124,L24100MH1983PLC126481,Parenteral Drugs (India) Limited,FC,Mumbai,No,2023-02-09,2025-01-16,1193.885143,1172.2409473,21.6441957,42.36423355,57.55,16.454377,0
1125,U25200GJ2014PTC079367,Fairdeal Multifilament Private Limited,FC,Ahmedabad,Yes,2023-02-21,2025-02-03,25.9245076,23.5684619,2.3560457,9.0889358,9.34,0.016794,0
1126,U51909MH2005PTC151601,Grey'S Exim Private Limited,OC,Mumbai,Yes,2023-06-27,2025-01-29,79.6063126,72.1074495,7.4988631,1.6708325,5.985935,0.6010563,0
1127,U45208WB2009PTC133164,Dreamvalley Projects Private Limited,FC,Kolkata,Yes,2023-07-18,2025-01-02,12.6050437,10.4759437,2.1291,0.001497822,0.36,0.05,0
1128,U45100MH2004PTC162319,Rite Builtec Private Limited,FC,Mumbai,Yes,2023-08-25,2025-01-16,153.1578812,105.3659153,47.7919659,24.424336,36,0,0
1129,U27109WB2004PTC099785,Purulia Metal Casting Private Limited,OC,Kolkata,Yes,2023-10-18,2025-01-07,454.7238562,100.946971,353.7768852,48.4329334,51.6066591,1.5133409,0
1130,U45400DL2007PTC171815,Inox Tubes Private Limited,CD,New Delhi,Yes,2023-11-10,2025-01-16,8.7930588,6.3727138,2.420345,0.8397237,0.7,0.02,0
1131,U70200WB2018PTC228606,Varutha Developers Private Limited,FC,Kolkata,Yes,2023-12-20,2025-01-07,493.04684,493.04684,0.0,175.14,310,0,0
1132,U40106DL2005PLC143431,Helios Photo Voltaic Limited**,FC,New Delhi,,2024-01-11,2025-01-22,,,,,,,0
1133,U62200DL2011PTC213169,Spectrum Aero Private Limited,FC,New Delhi,No,2024-03-11,2025-01-20,1.790095,1.605166,0.184929,4.32e-05,1.32,0.0018492,0
1134,U74210MH1999PTC122998,Truevalue Engineering Private Limited,FC,Mumbai,Yes,2024-04-16,2025-01-10,2.2327196,1.1,1.1327196,0,0.1,0.0056753,0
1135,U40300TG2009PLC064062,KSK Mahanadi Power Company Limited,FC,Hyderabad,No,2019-10-03,2025-02-13,26106.230000000003,23230.33,2875.9,6848.8,27972.8,306.96,0
1136,U45201TG2001PLC036053,Leo Meridian Infrastructure Projects And Hotels Limited,FC,Hyderabad,No,2019-04-09,2025-02-25,2218.8358349,1768.9258607,449.9099742,109.37,231,5.1338764,0
1137,U70109WB2011PTC164353,Rcbs Realty Private Limited**,FC,Kolkata,,2019-12-13,2025-01-08,,,,,,,0
1138,U01400UP2014PTC062238,Pratishtha Dairy Farms Private Limited**,OC,Allahabad,,2021-08-11,2024-09-05,,,,,,,0
1139,U74140AP1994PLC017397,Bharatiya Vaidya Vidhan Limited,FC,Amaravati,Yes,2022-11-29,2025-01-30,152.4463203,143.8463203,8.6,49.42,30.1,0.43,0
1140,U92200DL1959NPL003169,United News Of India,OC,New Delhi,No,2023-05-19,2025-02-12,125.5368923,2.1795882,123.3573041,44.1512449,1.4,51.8226165,0
1141,U92131MH2006PTC218162,Reliance Big Private Limited**,FC,Mumbai,,2023-08-18,2025-02-18,,,,,,,0
1142,U70101MH2006PTC165045,Vidhant Realty Private Limited,FC,Mumbai,Yes,2023-09-25,2025-02-19,983.5745761,899.9135947,83.6609814,39.2015488,44,0.07,0
1143,U51909MH2004PLC144099,Reward Real Estate Company Limited,FC,Mumbai,Yes,2023-12-05,2025-02-12,3246.8734222,3244.2202683,2.6531539,31.3085505,45,0.005,0
1144,U40108TN2010PTC077643,Connect Wind (India) Private Limited,FC,Chennai,Yes,2024-03-01,2025-02-21,172.5913793,86.6593338,85.9320455,19.3125739,16,0,0
1145,U45309MH2019PTC319525,Snehanjali and S.B. Developers Private Limited,FC,Mumbai,No,2024-03-07,2025-02-12,359.51470340000003,327.6619443,31.8527591,24.8621426,304.75,20.0243,0
1146,U24232MH2004PTC148628,Bionext Pharma Private Limited,OC,Mumbai,No,2024-03-20,2025-02-19,10.4098801,9.1781773,1.2317028,5.8872953,7.8150147,0.8349853,0
1147,U74200TN2008PTC067855,Spica Metfab Solutions India Private Limited,FC,Chennai,No,2023-10-04,2025-02-18,14.0314174,6.621554,7.4098634,1.7702135,0.4405752,0.3632577,0
1148,L99999MH1993PLC168521,Alka India Limited,FC,Mumbai,Yes,2023-12-18,2025-02-07,9.9377776,6.3085815,3.6291961,0.0361,6.3085815,0.5414761,0
1149,U45201DL2004PTC128962,Universal Buildwell Private Limited,FC,New Delhi,Yes,2018-07-03,2025-03-07,1048.3553247999998,910.278565,138.0767598,299.23,619.0396632,3.5976448,0
1150,U15122HR2011PTC043338,Nav Jyoti Agro Foods Private Limited,OC,Chandigarh,No,2019-02-12,2025-03-21,185.1430871,182.7739143,2.3691728,10.140721,42.05,0.15,0
1151,L74900MH1993PLC071710,Kdj Holidayscapes And Resorts Limited,FC,Mumbai,No,2019-09-23,2025-03-04,7.202849,7.130464,0.072385,0.0288398,4.5,0.01,0
1152,U27109AP2007PTC055828,Neerajakshi Iron & Steel Private Limited,FC,Hyderabad,No,2019-09-27,2025-03-25,35.6117492,28.5790099,7.0327393,8.27,19.54,0.121,0
1153,U17120MH2009PTC196784,Sangeeta Tex Dyes Private Limited ,OC,Mumbai,Yes,2020-01-29,2022-07-20,32.1967124,16.0691892,16.1275232,14.8537282,12.9732444,8.2267559,0
1154,U51504DL2014PTC266624,J P Engineers Private Limited ,OC,New Delhi,Yes,2020-02-26,2025-03-18,194.7407575,158.8771464,35.8636111,17.274237,19.25,0.25,0
1155,L28113WB1994PLC063452,Duncans Industries Limited,FC,Kolkata,No,2020-03-05,2024-10-18,291.5748788,175.8636109,115.7112679,93.18,92,69.7,0
1156,U15400GJ2011PTC066066,Anil Mega Food Park Private Limited,FC,Ahmedabad,Yes,2021-01-29,2024-11-19,113.8469108,113.8469108,0.0,17.525,25.4915,0.2585,0
1157,U80211UP2005PTC031070,Renu Residency Private Limited,FC,Allahabad,Yes,2021-02-12,2025-03-20,29.5690627,29.5690627,0.0,21.379325,29.5690627,0,0
1158,U25206MH1995PTC086960,Prince Swr Systems Private Limited,OC,Mumbai,No,2021-04-16,2025-03-27,329.7584817,297.6307442,32.1277375,46.38089022,52.16577,1.9595021,0
1159,U01115PN2007PLC130211,Cane Agro Energy (India) Limited,FC,Mumbai,No,2021-04-30,2025-03-24,841.1626937999999,350.6527138,490.50998,76.9747994,271.8296077,50.7790109,0
1160,U70102MH2004PLC147510,Neptune Developers Limited,FC,Mumbai,Yes,2021-07-16,2025-03-25,2187.8056463,2119.2546097,68.5510366,313.306486308,488.2341293,11.6148315,0
1161,U72200DL2005PTC135756,K V Aromatics Private Limited,FC,New Delhi,No,2022-03-15,2025-03-12,321.4856522,216.3871131,105.0985391,16.0069505,25.75,0.2,0
1162,U74899DL1995PLC074764,Franco Leone Limited,OC,New Delhi,No,2022-05-09,2025-02-12,222.1986473,79.207416,142.9912313,22.0261792,23.2857017,1.2342983,0
1163,U24119MH1997PTC109786,Peri Nitrates Private Limited,FC,Mumbai,Yes,2022-09-06,2025-02-07,40.9319007,30.2963178,10.6355829,3.01681965,2.77,0.16,0
1164,U25201WB2002PTC094844,G R Multi Flex Packaging Private Limited,FC,Kolkata,No,2022-09-19,2024-10-30,17.695594200000002,17.4349543,0.2606399,1.2359133,1.7012643,0.002937,0
1165,U74999DL2005PTC134902,Pg Advertising Private Limited,FC,New Delhi,No,2022-10-18,2025-03-12,137.4761385,20.4121726,117.0639659,13.54929605,11.7766041,0.5147598,0
1166,U22219WB1991PTC050561,Anderson Printing House Pvt Ltd**,OC,Kolkata,,2022-11-07,2024-06-26,,,,,,,0
1167,U27101WB2006PLC112036,Reform Ferro Cast Limited**,FC,Kolkata,,2022-11-21,2025-03-24,,,,,,,0
1168,U26900MH1994PTC077561,Oasis Ceramics Private Limited,FC,Mumbai,No,2022-12-19,2025-03-24,178.3938616,178.3938616,0.0,27.8499008,32.1010247,0,0
1169,U45208TN2008PTC066054,Emi Infrastructure Private Limited,FC,Chennai,No,2023-02-01,2025-02-05,45.697946,45.4189119,0.2790341,2.1406556,2.0858289,0.0148,0
1170,U99999MH1999PLC130803,Pannageshwar Sugar Mills Limited,FC,Mumbai,Yes,2023-05-12,2025-03-26,55.8039156,48.1979475,7.6059681,46.0465601,43.065,1.683699,0
1171,U72200TG2000PTC033700,Manjeera Retail Holdings Private Limited,FC,Hyderabad,No,2023-07-18,2025-03-26,317.3083581,311.9356988,5.3726593,268.0794392,269.7036443,1.8200097,0
1172,L45200TG1987PLC007228,Manjeera Constructions Limited**,FC,Hyderabad,,2023-07-18,2025-03-26,,,,,,,0
1173,U28999GJ2013PTC075827,Sps Autotubes Private Limited,FC,Ahmedabad,No,2023-09-15,2024-10-16,40.876367,39.5020006,1.3743664,8.2903641,28.2336875,0.1,0
1174,U74210MH2006PTC160533,Reliance Infrastructure Consulting & Engineers Private Limited**,FC,Mumbai,,2023-09-08,2025-03-11,,,,,,,0
1175,L27106WB1996PLC076866,Aanchal Ispat Limited,OC,Kolkata,No,2023-09-12,2025-03-27,162.70888589999998,84.8278327,77.8810532,24.3588,47.25,1,0
1176,U74996DL2006PTC150641,Dev Versha Publication Private Limited,FC,New Delhi,No,2023-09-26,2025-02-25,1.5602226,1.5602226,0.0,1.9644579,1.51,0,0
1177,U40102TG1996PLC024970,Gvk Gautami Power Limited,FC,Hyderabad,Yes,2023-10-20,2025-03-06,2759.6645497,2759.572165,0.0923847,265.0303258,199.9,0,0
1178,U26100WB2016PTC216993,Roysons Ceramics Private Limited,FC,Kolkata,No,2023-11-09,2025-03-27,33.0687012,32.3308639,0.7378373,11.1481082,11.1,0.0101603,0
1179,U28910CT2013PTC000795,Metishtech Fabricators Private Limited,OC,Cuttack,Yes,2023-11-01,2025-03-28,4.0951389,2.2394148,1.8557241,0.2798571,0.245,0.0055,0
1180,U74900MH2007PTC170632,Om Shree Ganesh Containers Private Limited,FC,Mumbai,No,2023-12-05,2025-03-03,25.8558322,25.8558322,0.0,1.1402309,1.35,0,0
1181,L99999MH1983PLC029321,Viksit Engineering Ltd,FC,Mumbai,No,2023-12-08,2025-02-11,2.8276232,1.2569986,1.5706246,1.127408,1.2569986,1.5706246,0
1182,U51494DL2008PTC177238,Associated Composite Materials Private Limited,FC,New Delhi,Yes,2023-12-06,2025-01-16,32.3662,21.7958,10.5704,3.35871405,4.3,0.003,0
1183,U26942ML1986PLC002570,Virgo Cements Limited,FC,Guwahati,Yes,2023-12-11,2025-03-28,71.380608,69.9098276,1.4707804,2.8818496,7.02,1.4707804,0
1184,U45201MH2007PTC174797,Hbs Auto And Anc Sez Private Limited,FC,Mumbai,No,2024-01-02,2025-03-12,120.0227641,118.9396409,1.0831232,1.07,46,1.0831231,0
1185,U22219MH1988PTC049003,Cardpro Solutions Private Limited,OC,Mumbai,Yes,2024-02-16,2025-03-04,8.3562493,7.4660092,0.8902401,0.0589155,0,0,0
1186,U15549DL2018PTC342711,Goodhealth Industries Private Limited,OC,New Delhi,Yes,2024-04-02,2025-03-05,7.5360662,1.6213423,5.9147239,2.4534,1.6213423,0.3034297,0
1187,U15142CT2004PTC016884,Siddhi Agro Foods Private Limited,FC,Cuttack,No,2024-04-03,2025-03-28,70.4212057,70.4212057,0.0,8.1569163,8.46,0,0
1188,U28113GJ2009PTC057555,Dharma Extrusions Private Limited,OC,Mumbai,No,2023-06-06,2025-03-27,25.0378428,16.7451199,8.2927229,1.7483749,4.2925,0.0074801,0
1189,U74899DL1988PTC033302,Nibula Print And Pack Private Limited**,OC,New Delhi,,2018-12-11,2025-03-03,,,,,,,0
