Sl_No,CIN,Company_Name,Triggered_By,NCLT_Bench,Defunct,Date_Insolvency_Commencement,Date_Resolution_Order,Total_Admitted_Claims,Admitted_Claims_FC,Admitted_Claims_OC,Liquidation_Value,Realisable_FC,Realisable_OC,Liquidation_Flag
169,U27310GJ2004PLC044403,Shaifali Rolls Limited,OC,Ahmedabad,No,2018-09-14,2019-11-20,345.21,342.75,2.46,14.1,16,1.95,0
170,U74110DL2012PTC234328,EXIT10 Marketing Private Limited,OC,New Delhi,Yes,2018-09-14,2019-11-20,0.47,0.0,0.47,0.18,0,0.06,0
171,U23200MH1996PTC096730,Viz Infra Consultants Private Limited,FC,Mumbai,No,2018-08-28,2019-11-21,474.0100000000001,397.72,76.29,13.86,24.59,0.01,0
172,U74999WB2012PTC173609,Alex Green Energy Private Limited,OC,Kolkata,Yes,2019-02-18,2019-11-25,1154.11,1154.0,0.11,9.16,10.12,0.11,0
173,U01111MH1997PLC208346,Dunar Foods Limited,FC,Mumbai,No,2017-12-22,2019-11-26,1009.87,978.57,31.3,67.79,85.41,0.1,0
174,L74940MH1993PLC074694,Ricoh India Limited,CD,Mumbai,No,2018-05-14,2019-11-28,2519.62,1728.28,791.34,444.17,199.77,20.24,0
175,U74899DL1995PLC070717,ARGL Limited,FC,New Delhi,No,2018-03-16,2019-12-02,1212.74,1194.36,18.38,224,483.72,2,0
176,U29309DL1997PTC088728,Logic Eastern India Private Limited,FC,New Delhi,No,2018-07-18,2019-12-02,40.43,14.37,26.06,7.61,7.78,8.1,0
177,U27107MH2008PTC184344,Euro Pallets Private Limited,FC,Mumbai,No,2018-05-18,2019-12-05,34.98,34.97,0.01,0.83,3.01,0.01,0
178,U67120MH1981PTC023663,Nippon Investments and Finance Company Private Limited,FC,Mumbai,Yes,2019-02-18,2019-12-05,167.002,167.0,0.002,0.71,9.51,0.002,0
179,U27100TG2009PTC065834,Shree Raghav Ispat (India) Private Limited,OC,Hyderabad,Yes,2018-05-10,2019-12-06,30.9,19.78,11.12,5.61,5.5,0.06,0
180,U65992PN1982PTC028301,Dome-Bell Electronics Private Limited,FC,Mumbai,No,2018-08-21,2019-12-09,1696.36,1696.36,0.0,28.18,416.09,0,0
181,U24232TG2007PTC056165,Thexa Pharma Private Limited,OC,Hyderabad,Yes,2018-08-28,2019-12-11,51.06,44.55,6.51,8.74,10.26,0,0
182,U70102TG2008PTC061226,CISCONS Projects Private Limited,FC,Hyderabad,No,2019-01-31,2019-12-12,24.08,10.49,13.59,0.82,3.85,0.15,0
183,U45200TN2007PTC063625,P Dot G Constructions Private Limited,OC,Chennai,Yes,2018-07-13,2019-12-13,226.49,210.43,16.06,44.35,28.21,0.66,0
184,U27103GA1998PTC002568,Aparant Iron and Steel Private Limited,FC,Mumbai,No,2018-11-30,2019-12-13,429.63000000000005,428.41,1.22,49.27,60,0.48,0
185,U27109TG2007PTC053805,Gavi Siddeswara Steels (India) Private Limited,FC,Hyderabad,Yes,2019-01-08,2019-12-13,159.46,156.0,3.46,19.83,20,0,0
186,U24230TG1989PLC010737,Apex Drugs Limited,OC,Hyderabad,No,2018-09-06,2019-12-18,205.11,197.82,7.29,10.13,13,0.25,0
187,U45200TN2008PTC068689,Royal Splendour Developers Private Limited,FC,Chennai,No,2017-12-04,2019-12-23,0.76,,0.76,21,,,0
188,U17120GJ2013PTC075697,V S Texmills Private Limited,FC,Ahmedabad,No,2019-01-09,2020-01-01,17.68,16.31,1.37,4.63,4.44,0.06,0
189,U40102DL2007PLC166052,Era T & D Limited,FC,New Delhi,No,2018-12-03,2020-01-02,26.33,26.25,0.08,14.01,11.5,0.08,0
190,U74900TN2009PTC072211,Xenia Abode Services Private Limited,OC,Chennai,No,2019-01-09,2020-01-08,12.44,8.38,4.06,0.29,8.38,3.12,0
191,U60231KA2000PLC028284,ILC Industries Limited,OC,Bengaluru,No,2019-04-16,2020-01-13,191.37,10.87,180.5,10.03,7.21,2.52,0
192,L15511TN1983PLC010313,Empee Distilleries Limited,FC,Chennai,No,2018-11-01,2020-01-20,481.97,302.74,179.23,233.04,302.74,156.61,0
193,L24292MH1982PLC026728,Noble Explochem Limited,OC,Mumbai,No,2018-05-14,2020-01-22,135.47,106.12,29.35,51.86,57.3,9.59,0
194,U25199UP2006PTC031809,Hwashin Industries Private Limited,OC,Allahabad,No,2019-01-10,2020-01-22,1.14,0.0,1.14,0.44,0,0.18,0
195,U33110HR2010PLC040788,SRS Meditech Limited,OC,Chandigarh,Yes,2018-11-15,2020-01-28,100.34,29.36,70.98,1.35,13.75,1.66,0
196,U27310TG2008PTC060371,Sri Ramanjaneya Ispat Private Limited,OC,Hyderabad,No,2018-12-12,2020-01-28,35.480000000000004,26.17,9.31,7.07,17.74,0.09,0
197,L45201OR1955PLC008400,Ferro Alloys Corporation Limited,FC,Cuttack,No,2017-07-06,2020-01-30,1047.48,826.36,221.12,305.43,280,0,0
198,L25110MH1985PLC036320,Govind Rubber Limited,OC,Mumbai,Yes,2019-01-18,2020-01-31,1473.15,152.73,1320.42,28.77,27,4.85,0
199,U28110TG2004PTC044554,Vaksh Steels Private Limited,FC,Hyderabad,Yes,2019-02-13,2020-01-31,60.76,40.22,20.54,6.8,9.75,0.05,0
200,U01132AS1987PLC002736,Langlai Tea and Industries Ltd,CD,Guwahati,No,2019-03-29,2020-02-05,102.93,102.82,0.11,2.46,1.2,0.00013,0
201,U45100TG1996PTC025994,Golden Jubilee Hotels Private Limited,FC,Hyderabad,No,2018-02-27,2020-02-07,1075.84,969.84,106.0,453,362.01,42,0
202,U27104HR1969PLC005177,Haryana Steel and Alloys Limited,FC,Chandigarh,No,2019-02-13,2020-02-07,1110.89,1107.36,3.53,122.87,114.9,0,0
203,U17291UP2012PLC049535,Sitarganj Fibers Limited,FC,Allahabad,No,2019-04-09,2020-02-07,71.83,71.83,0.0,12.48,13.1,0,0
204,U51101DL1991PTC042923,Charming Apparels Private Limited,OC,New Delhi,Yes,2017-12-08,2020-02-10,17.91,14.42,3.49,16.16,14.42,1.5,0
205,U01514KA1984PTC006284,Sri Murugarajendra Oil Industry Private Limited,OC,Bengaluru,Yes,2019-06-04,2020-02-10,18.77,18.68,0.09,1.92,3.12,0.09,0
206,L26942TG1978PLC002315,Bheema Cements Limited,FC,Hyderabad,Yes,2018-07-09,2020-02-11,670.4200000000001,498.79,171.63,194.05,201.6,0,0
207,U27108DL2002PLC223458,Kalptaru Steel Rolling Mills Limited,FC,New Delhi,Yes,2018-08-14,2020-02-14,136.6,136.6,0.0,25.87,26.15,0,0
208,U74899DL1984PTC018684,Aditya Estates Private Limited,FC,New Delhi,No,2019-02-26,2020-02-14,593.55,593.55,0.0,153.4,263,0,0
209,U45201RJ2008PTC027419,Flamingo Landbase Private Limited,OC,Jaipur,Yes,2019-09-24,2020-02-14,17.07,16.0,1.07,3.6,3.28,1.07,0
210,U45400DL2013PTC256967,Maple Realcon Private Limited,OC,New Delhi,No,2018-07-18,2020-02-20,106.87,94.69,12.18,40.6,94.69,1.32,0
211,U51101GJ2006PTC049024,Sadbhav Enterprise Private Limited,FC,Ahmedabad,No,2017-09-19,2020-02-24,20.07,15.52,4.55,18.12,15.52,4.55,0
212,L74210WB1964PLC026284,Tantia Constructions Ltd,FC,Kolkata,No,2019-03-13,2020-02-24,1601.84,1526.14,75.7,51.3,67,3.5,0
213,U40109TG1995PLC020948,Krishna Godavari Power Utiilities Limited,FC,Hyderabad,No,2018-12-04,2020-02-27,392.18,389.74,2.44,29.11,31,0.1,0
214,U17111TZ1993PLC006729,Mynah Industries Limited,OC,Chennai,Yes,2019-02-26,2020-02-28,212.93,174.29,38.64,9.07,9.35,0.55,0
215,U60200OR2014PLC018639,Odisha Slurry Pipeline Infrasructure Limited,FC,Cuttack,No,2019-05-14,2020-03-02,3389.75,3387.0,2.75,1199,2352.9,1,0
216,L28110OR2001PLC017271,Adhunik Metaliks Limited,FC,Kolkata,No,2017-08-03,2020-03-03,5648.129999999999,5371.23,276.9,431.5,410,33.63,0
217,U27109OR2006PLC017026,Zion Steel Limited,FC,Kolkata,No,2017-08-03,2020-03-03,5368.17,5367.02,1.15,14.55,15,0,0
218,U27209TN1984PLC010994,Tebma Shipyards Limited,OC,Chennai,No,2018-09-25,2020-03-04,606.28,602.39,3.89,206.55,58.65,2.59,0
219,U67120RJ2007PTC023815,Satyamitra Stock Consultants Private Limited,FC,Jaipur,Yes,2019-08-09,2020-03-04,5.795,5.78,0.015,0.04,0.11,0.0025,0
220,U21015MP1998PTC012560,Madhya Bharat Phosphate Private Limited,OC,Ahmedabad,Yes,2018-09-11,2020-03-05,43.22,39.74,3.48,11.62,18.15,0.62,0
221,U17110PB2006PLC029518,F M Hammerle Textiles Limited,CD,Chandigarh,No,2017-06-27,2020-03-13,779.4,769.28,10.12,66.58,52.08,0.45,0
222,U22012CH1993PTC012939,A P Enterprises Private Limited,OC,Chandigarh,No,2018-11-13,2020-03-18,54.3484694,23.244837,31.1036324,14.4516596,19.9316049,15.7117184,0
223,U22110CH2003PLC026260,Mansa Print and Publishers Limited,FC,Chandigarh,No,2019-02-28,2020-03-18,88.69999999999999,72.05,16.65,9.56,12.86,0.27,0
224,L45201GJ1985PLC008338,Jaihind Projects Limited,OC,Ahmedabad,No,2018-11-02,2020-03-19,1337.84,1002.06,335.78,33.47,53.5,0.75,0
225,U65910DL1997PTC084696,Anush Finlease and Construction Private Limited,FC,New Delhi,Yes,2019-05-30,2020-04-01,231.78,172.89,58.89,69.94,69.69,0.3,0
226,U18100AP2005PTC046462,Supraja Textiles Private Limited,CD,Hyderabad,No,2018-08-23,2020-04-29,18.9106,18.704,0.2066,9.3375006,9,0.0253,0
227,L27100MH1970PLC014621,Uttam Value Steel Private Limited,FC,Mumbai,No,2018-06-26,2020-04-30,4385.139999999999,2479.49,1905.65,696.35,818.19,1,0
228,U27200HR2007PLC037927,Uttam Galva Metalics Limited,FC,Mumbai,No,2018-07-11,2020-04-30,4334.8,3634.08,700.72,865.87,1111.17,1,0
229,U30000MH1995PLC091944,Trimax IT Infrastructure & Services Limited,FC,Mumbai,No,2019-02-21,2020-05-04,1748.8429999999998,1701.233,47.61,103.82,166.01,2.385,0
230,U51211HR2004PTC035387,Ganeshom Cereals Private Limited,FC,Chandigarh,Yes,2018-12-13,2020-05-18,552.24,511.88,40.36,6.27,8,0.07,0
231,U45201ML2007PLC008266,Meghalaya Infratech Limited,FC,Guwahati,Yes,2019-08-28,2020-05-18,248.02,248.02,0.0,61.61,64.3,0,0
232,U15311MP1994PTC032994,B. P. Food Products Private Limited,OC,Ahmedabad,Yes,2018-08-08,2020-05-26,196.66,159.42,37.24,37.73,47.16,0.64,0
233,L17123GJ2015PLC083569,Digjam Limited,OC,Ahmedabad,No,2019-04-26,2020-05-27,93.02,70.86,22.16,93.79,70.86,12.71,0
234,U24230TG1992PLC014774,India Pencillins Limited,OC,Hyderabad,No,2019-11-05,2020-05-29,0.95,0.0,0.95,0.15,0,0.11,0
235,L17121MP1984PLC002484,The Dhar Textile Mills Limited,FC,Ahmedabad,Yes,2019-02-15,2020-06-04,668.1038212999999,668.0227718,0.0810495,15.99125,23.2706362,0.0405248,0
236,U17110CH2005PTC027853,Sarbat Cotfab Private Limited,FC,Chandigarh,No,2018-02-15,2020-06-08,93.37,84.94,8.43,1.94,1.61,1.11,0
237,U85100DL2012PTC246067,Evan Multispeciality Hospital & Research Centre Private Limited,OC,New Delhi,No,2018-12-03,2020-06-08,49.3135069,46.3197538,2.9937531,17.73540095,22.55,0.7,0
238,U32201MH1994PLC284030,Aircel Limited,CD,Mumbai,No,2018-03-12,2020-06-09,36101.92365297928,19831.79,9151.50294351315,1606.27,6630,29.6,0
239,U74999MH1998PLC283931,Dishnet Wireless Limited,CD,Mumbai,No,2018-03-19,2020-06-09,,,4844.623930192924,970.25,,17.48,0
240,U74999MH1992PLC284457,Aircel Cellular Limited,CD,Mumbai,No,2018-03-19,2020-06-09,,,2274.006779273206,72.71,,0.3,0
241,U74900WB2010PTC149112,Pannalal Cold Storage Private Limited,FC,Kolkata,No,2019-10-21,2020-06-15,16.27,16.27,0.0,6.17,7.3,0,0
242,U26942ML2007PTC008253,RNB Cements (P) Limited,FC,Guwahati,Yes,2019-06-13,2020-06-19,143.22,142.41,0.81,33.82,34,0.41,0
243,U85110MH1987PTC042166,Print House (India) Private Limited,CD,Mumbai,No,2018-10-09,2020-06-23,67.01,66.67,0.34,52.43,42.5,0.34,0
244,U37100DL2010PLC209463,Micromax Energy Limited,OC,New Delhi,No,2018-12-17,2020-06-24,6.06,0.0,6.06,0.18,0,6.06,0
245,U74899DL1987PTC027157,Monet Exports Private Limited,FC,New Delhi,Yes,2018-12-20,2020-06-26,5.88,5.88,0.0,2.52,2.7,0,0
246,U25203DL2007PTC159154,Unnati Fortune Industries Private Limited,FC,New Delhi,No,2019-06-11,2020-07-01,13.18,9.84,3.34,9.97,9.84,0.34,0
247,U17115PN2006PLC022143,Maruti Cotex Limited,FC,Mumbai,Yes,2019-05-08,2020-07-02,602.63,547.92,54.71,88.07,75.61,0.5,0
248,U15429KA2002PLC029955,Badami Sugars Limited,FC,Bengaluru,Yes,2019-09-27,2020-07-08,241.818,241.8,0.018,8.54,16.5,0,0
249,L27230HR1988PLC030333,Amtek Auto Limited,FC,Chandigarh,No,2017-07-24,2020-07-09,12847.69,12641.18,206.51,1543.49,2614.72,3.84,0
250,U45400WB2008PTC121477,City Mall Vikash Private Limited,FC,Kolkata,No,2019-02-26,2020-07-10,184.23,180.08,4.15,76.37,88.11,1.75,0
251,U63020WB2010PTC154357,Mondal & Manna Coldstore Private Limited,FC,Kolkata,Yes,2019-09-23,2020-07-13,2.0,2.0,0.0,0.29,0.1,0,0
252,U63090WB1990PLC048986,Prime Retail India Limited,OC,Kolkata,No,2019-08-27,2020-07-15,79.3,38.37,40.93,18.67,10.47,0.53,0
253,U27310UP1996PTC019256,Jagdamba Loha Udhyog Private Limited,OC,Allahabad,No,2018-07-31,2020-07-20,14.12,13.86,0.26,3.8,5.56,0.11,0
254,U45200TN2001PLC088377,GVR Infra Projects Limited,FC,Chennai,No,2018-10-17,2020-07-20,2479.08,2271.08,208.0,387.8,352,3,0
255,U40100MH2005PTC156213,Maharastra Vidhyut Nigam Private Limited,FC,Mumbai,No,2019-02-14,2020-07-21,389.14,388.5,0.64,25.19,25.3,0.008,0
256,U55101DL1997PLC090225,Shekhar Resorts Limited,FC,New Delhi,No,2018-09-11,2020-07-24,100.83,92.77,8.06,125.92,92.77,8.06,0
257,U15203GA2004PTC003366,Siddharth Milk and Milk Products Private Limited,FC,Mumbai,Yes,2019-04-26,2020-08-03,366.8,366.71,0.09,7.07,8.1,0,0
258,U15202GA2007PTC005058,Siddharth Milk Foods (india) Private Limited,FC,Mumbai,No,2019-04-26,2020-08-03,408.2,398.3,9.9,39.47,70.35,0.1,0
259,U74899DL1998PTC093071,J N C Constructions Private Limited,FC,New Delhi,No,2019-05-30,2020-08-04,361.8,203.73,158.07,99.89,198.36,25.92,0
260,L25200GJ1984PLC050560,Gopala Polyplast Ltd,OC,Ahmedabad,Yes,2019-05-02,2020-08-07,232.15,98.84,133.31,39.33,40.38,40.85,0
261,U17119WB1995PLC180759,Suraj Fabrics Industries Limited,CD,Kolkata,Yes,2019-07-01,2020-08-12,160.60000000000002,119.29,41.31,7.84,9.75,0.31,0
262,U74140WB1987PTC043404,Ashika Commercial Pvt Ltd,FC,Kolkata,No,2019-08-22,2020-08-12,45.37,39.23,6.14,16.22,39.23,6.14,0
263,U45400MH2007PTC170981,Surya Treasure island Private Limited,FC,Mumbai,No,2018-06-15,2020-08-17,157.03,157.03,0.0,91.13,131.56,0.18,0
264,U45200DL2008PTC174167,Payne Realtors Private Limited,FC,New Delhi,No,2019-07-25,2020-08-24,47.99,47.76,0.23,23.23,28.12,0.23,0
265,U00361KA1989PTC009761,Aradhaya Steel Private Limited,OC,Bengaluru,No,2019-08-29,2020-08-24,297.2169950418556,257.9702631233562,39.24673191849939,53.06,61.5,0.55,0
266,U40101TG2004PLC061239,Sai Lilagar Power Generation Limited,FC,Hyderabad,No,2019-07-11,2020-08-27,1167.1,552.88,614.22,94.14,85,2.8,0
267,U51900MH1941PTC003330,International Book House Private Limited,OC,Mumbai,No,2018-12-21,2020-09-01,46.0,24.63,21.37,8.04,8.7,0.43,0
268,U25203GJ2010PTC079355,Technovaa Plastic Industries Private Limited,OC,Ahmedabad,No,2018-10-26,2020-09-04,151.47,104.69,46.78,40.68,41.59,1.06,0
269,U33112GJ2003PTC042558,Tiger Surgical Disposable Private Limited,FC,Ahmedabad,No,2019-07-24,2020-09-16,28.63,26.49,2.14,1.09,2.5,0.13,0
270,U28991WB1989PTC046011,Prashant Impex Private Limited,OC,Kolkata,Yes,2019-06-27,2020-09-21,2.15,0.32,1.83,0.82,0.32,0.06,0
271,U51229PN2001PLC131630,Shree Kedarnath Sugar and Agro Products Limited,FC,Mumbai,No,2019-08-21,2020-09-21,606.13,574.59,31.54,28.76,54.25,4.9,0
272,U27109WB2006PTC107052,Kharkia Steels Private Limited,FC,Kolkata,Yes,2019-09-20,2020-09-21,506.0,411.16,94.84,6.52,8.22,0.14,0
273,U74994KA2000PTC026634,V3 Engineers Private Limited,OC,Bengaluru,Yes,2020-03-02,2020-09-21,1.53,0.74,0.79,0.14,0.0025 + Contingent Payment,0.022 + Contingent Payment,0
274,U70102DL2013PTC249338,Sampan Tradex Private Limited,OC,New Delhi,No,2019-07-30,2020-09-23,31.44,,31.44,1.05,,1.2,0
275,L72900DL2011PLC221111,Fourth Dimension Solutions Limited,FC,New Delhi,Yes,2019-07-25,2020-09-25,102.66,9.4,93.26,2.73,3.54,2.14,0
276,U27300MH1999PTC122686,Shridhar Castings Private Limited,FC,Mumbai,No,2019-10-17,2020-09-29,25.58,21.6,3.98,2.19,4.58,0.039,0
277,U15490KL2008PTC021879,Kaula Agro Foods Private Limited,CD,Kochi,Yes,2019-12-03,2020-09-29,9.09,5.45,3.64,2.72,4.02,0.33,0
278,U74899DL1994PLC063016,Shree Bhomika International Limited,FC,New Delhi,Yes,2019-07-11,2020-10-05,331.69,325.4,6.29,4.25,4,0.5,0
279,U55101GA1999PTC002758,Parole Hotels PrivateLimited,FC,Mumbai,No,2018-12-04,2020-10-06,11.84,11.84,,12.59,12.75,,0
280,U74899DL1994PLC063000,Benlon India Limited,OC,New Delhi,No,2018-12-19,2020-10-20,479.43,472.0,7.43,81.01,103,1,0
281,U27109WB2002PTC095337,VSP Udyog Private Limited,OC,Kolkata,Yes,2019-08-07,2020-10-20,1294.83,339.75,955.08,50.85,50.9,0.84,0
282,U27105DL2005PLC132593,Asian Colour Coated Ispat Limited,FC,New Delhi,No,2018-07-20,2020-10-26,7124.92,6567.0,557.92,619.15,1537.58,12.42,0
283,U45400DL2007PTC201844,NIIL Infrastructures Private Limited,FC,New Delhi,No,2018-03-28,2020-11-04,149.64,137.64,12.0,90.99,102.46,9.39,0
284,U74999MH2011PTC212987,Om Printing and Flexible Packaging Private Limited,OC,Mumbai,Yes,2019-02-20,2020-11-10,20.36,18.9,1.46,6,6.38,0.16,0
285,L17120MH1993PLC073267,Asahi Industries Limited,FC,Mumbai,No,2019-01-21,2020-11-13,46.79,44.91,1.88,0.71,5.76,0.09,0
286,U15543DL2004PLC126891,Swastik Aqua Limited,FC,New Delhi,No,2019-12-09,2020-11-24,5.69,5.59,0.1,0.98,3,0.05,0
287,U30007KA2002PTC030541,Flowline Instrumentation Private Limited,OC,Bengaluru,No,2019-10-23,2020-11-25,10.83,2.92,7.91,0.15,3.15,0.0075,0
288,U72900MH2001PLC131598,Reliance Infratel Limited,OC,Mumbai,No,2018-05-17,2020-12-03,7619.259999999999,6280.48,1338.78,4339.58,4235.78,31.66,0
289,U40101HR2011PTC044592,Drake & Scull Water & Energy India Private Limited,OC,Chandigarh,No,2018-10-30,2020-12-03,98.22,84.31,13.91,4.92,6.46,0.38,0
290,L01403TG2002PLC039113,Proseed India Limited,OC,Hyderabad,No,2019-07-10,2020-12-03,39.14,36.76,2.38,1.5,1.5,0.015,0
291,U15541DL2004PLC126895,Swastik Fruits Products Limited,FC,New Delhi,Yes,2019-09-06,2020-12-04,19.09,18.68,0.41,5.35,5.11,0.35,0
292,U28112GJ2010PTC059270,Twenty First Century Castings Private Limited,OC,Ahmedabad,Yes,2020-01-16,2020-12-09,37.95,26.13,11.82,2.35,3.9,0,0
293,U70104HR2006PLC045915,Educomp Infrastructure and School Management Limited,CD,Chandigarh,No,2018-04-25,2020-12-14,910.01,904.94,5.07,462.39,499.88,1.13,0
294,L65921HR1983PLC033789,Castex Technologies Limited,FC,Chandigarh,No,2017-12-20,2020-12-15,7745.530000000001,7522.26,223.27,500.88,1266.44,2.46,0
295,U21011UR1985PTC007180,Multiwal Duplex Private Limited,FC,Allahabad,No,2019-09-12,2020-12-16,126.57,126.57,,10,13,,0
296,U51223KL2012PTC031076,Delsea Exports Private Limited,OC,Kochi,No,2020-03-09,2020-12-18,6.3707162,6.2407162,0.13,4.1822098,3.772488,0.0571333,0
297,U74210DL1997PLC168576,VIL Limited,FC,New Delhi,No,2019-03-19,2020-12-24,961.46,914.01,47.45,28.7,41.61,0.72,0
298,U40109TG2004PLC043985,Jalpower Corporation Limited,FC,Hyderabad,Yes,2019-04-09,2020-12-24,1322.58,1204.37,118.21,51.41,151,1.31,0
299,L29309TG1986PLC006714,Sujana Universal Industries Limited,OC,Hyderabad,No,2019-06-20,2020-12-24,2187.1,1956.74,230.36,38.69,101.1,0.25,0
300,U15122WB2009PTC135621,Amrit Fresh Private Limited,FC,Kolkata,No,2019-07-10,2020-12-24,26.51,26.3,0.21,7.33,10,0.21,0
301,L17111GJ1979PLC003463,Garden Silk Mills Limited,FC,Ahmedabad,No,2020-06-24,2021-01-01,2603.01,2090.46,512.55,694.18,717.5,29.5,0
302,U74899DL1989PTC036417,Multiwal Pulp and Board Mills Private Limited,FC,New Delhi,No,2019-05-21,2021-01-04,575.72,571.13,4.59,20.22,24,0,0
303,U45200DL2006PTC156368,Prius Commercial Projects Private Limited,FC,New Delhi,No,2019-08-09,2021-01-04,852.12,844.79,7.33,429.07,443.13,7.33,0
304,U70109DL2011PTC221077,Bigmoon Buildcon Private Limited,FC,New Delhi,No,2019-09-03,2021-01-04,34.43,34.43,0.0,14.66,18.5,0,0
305,L28113TG1971PLC001437,VBC Industries Limited,FC,Hyderabad,No,2018-04-13,2021-01-07,471.37,176.32,295.05,96.92,57,0.1,0
306,U32109DL2002PLC115129,NTL Electronics India Limited,OC,New Delhi,No,2019-08-27,2021-01-07,211.37,139.44,71.93,18.74,17.84,2.26,0
307,L24231CH1996PLC017755,Parabolic Drugs Limited,OC,Chandigarh,No,2018-08-23,2021-01-12,1891.31,1515.58,375.73,110,103.68,11.26,0
308,U24117CH1996PLC018656,Vardhman Chemtech Limited,FC,Chandigarh,No,2018-09-25,2021-01-12,737.31,411.92,325.39,14.02,27.54,2.28,0
309,U52100GJ2008PTC055050,Nijinoy Trading Private Limited,OC,Ahmedabad,Yes,2019-04-25,2021-01-18,11.71,1.24,10.47,0.15,0.1,0.0536,0
310,U15424PN1998PLC013163,Shetkari Sakhar Karkhana (Chandapuri) Limited,OC,Mumbai,Yes,2019-01-14,2021-01-22,71.13,69.3,1.83,24.85,22.49,0.09,0
311,U45209GJ2002PLC040887,M.V. Omni Projects (India) Limited,OC,Ahmedabad,No,2019-08-29,2021-01-28,353.84,237.38,116.46,7.4,34.67,0.76,0
312,U45201KA2011PTC057194,Fortuna Urbanscape Private Limited,FC,Bengaluru,Yes,2019-08-09,2021-01-29,176.0769681,167.2084109,8.8685572,18.0664274,37.87,0.3,0
313,U21013KL1983GOI003735,Hindustan News Print Ltd,FC,Kochi,No,2019-11-28,2021-01-29,518.5539,209.0918,309.4621,443.34,72.3009,70.9885,0
314,U15412KL1992PTC006847,Bristo Foods Private Limited,FC,Kochi,No,2019-12-20,2021-01-29,12.5373728,11.3782243,1.1591485,2.4263232,1.8656698,0.1930362,0
315,U21000MH1973PLC016564,Shree vindhya Papers Mills Limited,FC,Mumbai,Yes,2019-06-07,2021-02-02,1818.82,1816.17,2.65,4.11,10.6,0.2,0
316,U74140DL1994PTC061818,Technopak Advisors Private Limited,OC,New Delhi,No,2019-08-21,2021-02-08,57.6,37.08,20.52,5.87,18.5,5.2,0
317,U74899DL1984PTC018352,Capital Auto Rubber Products Private Limited,OC,New Delhi,Yes,2019-09-06,2021-02-08,14.1298477,9.7031436,4.4267041,4.54686315,5.2,0.4090029,0
318,L51909PB2000PLC023679,SEL Manufacturing Company Limited,FC,Chandigarh,No,2018-04-11,2021-02-10,7303.179999999999,7242.28,60.9,997.88,1089.5,3.5,0
319,U51109WB2006PTC109299,Skipper Homes Private Limited,FC,Kolkata,No,2019-10-21,2021-02-11,11.55,10.52,1.03,1.41,4.63,0.06,0
320,U27103WB1998PLC087025,Prosperity Steels Limited,OC,Kolkata,Yes,2019-10-04,2021-02-18,4.92,3.04,1.88,1.62,1.71,0,0
321,U26914GJ2012PTC068945,Sungracia Tiles Private Limited,OC,Ahmedabad,Yes,2019-12-04,2021-02-18,22.87,13.15,9.72,11.04,11.21,0.32,0
322,U85110KL1992PTC006573,PVS Memorial Hospital Private Limited,OC,Kochi,No,2019-10-16,2021-02-22,200.47000000000003,146.11,54.36,122.91,114.56,10.69,0
323,U21093UP1995PLC017950,NS Papers Limited,FC,Allahabad,No,2019-07-09,2021-02-23,420.15,390.46,29.69,58.69,78.92,0.11,0
324,U36999TG2007PLC056030,Panel Boards and Laminates Limited,OC,Hyderabad,Yes,2019-08-20,2021-03-01,36.35,18.28,18.07,7.02,5.13,2.91,0
325,U51909GJ2013PTC076785,Mahi Corporation Private Limited,FC,Ahmedabad,Yes,2019-08-21,2021-03-01,6.04,6.04,0.0,1.08,1.84,0,0
326,U34100MH2007PTC172494,Ashtavinayak Auto Private Limited,OC,Mumbai,Yes,2018-11-06,2021-03-05,10.5660642,7.1781461,3.3879181,0.3042,0.086,0.04,0
327,U34100MH2010PTC207106,AVK Automall Private Limited,OC,Mumbai,Yes,2018-11-06,2021-03-05,19.2675041,7.1963268,12.0711773,0.3168,0.087,0.145,0
328,U74900MH2007PTC176912,AVK Automart Private Limited,OC,Mumbai,Yes,2018-11-06,2021-03-05,56.7854806,50.2502315,6.5352491,0.34365,0.5199,0.0675,0
329,U45400DL2007PTC164871,Celestial Estate Private Limited,FC,New Delhi,No,2019-03-11,2021-03-15,185.3113042273631,185.3113042273631,0.0,102.8781,185.3113042273631,0,0
330,U40104TG2001PTC045088,VS Lignite Power Private Limited,OC,Hyderabad,No,2019-09-18,2021-03-16,2005.16,993.45,1011.71,162.27,170,2.83,0
331,U29222GJ2001PTC039563,Perfect Boring Private Limited,OC,Ahmedabad,No,2019-09-30,2021-03-16,50.626154444,19.120488644,31.5056658,14.73,13.5947,2.62,0
332,U15422UP2009PTC038540,Uniworld Sugars Private Limited,OC,Allahabad,Yes,2018-05-29,2021-03-17,270.77,138.03,132.74,52.69,45.77,2.3,0
333,U26933AP2011PTC073105,Segno Ceramics Private Limited,OC,Hyderabad,No,2019-11-22,2021-03-17,56.03,33.22,22.81,37.58,22.17,4.1,0
334,U45203KA1999PLC025407,Noble Ispat & Energies Limited,FC,Bengaluru,Yes,2019-08-26,2021-03-19,318.740271,318.740271,0.0,8.85,47.45,0,0
335,U45205KA2012PTC065713,Amintha Infrastructure Private Limited,FC,Bengaluru,Yes,2019-08-30,2021-03-22,16.11,10.3,5.81,5.66,6.89,0,0
