Sl_No,CIN,Company_Name,Triggered_By,NCLT_Bench,Defunct,Date_Insolvency_Commencement,Date_Liquidation_Order,Total_Admitted_Claims,Admitted_Claims_FC,Admitted_Claims_OC,No_Resolution_Plans,Highest_Resolution_Value,Liquidation_Flag
634,U55100MH2005PTC155391,Hotel Reeva Private Limited,FC,Mumbai,No,2018-10-31,2019-09-26,39.78,32.95,6.83,0.0,-,1
635,U28999TN2013PTC093046,Vee Ess Forgings Private Limited,CD,Chennai,Yes,2019-03-04,2019-09-26,2.3,1.31,0.99,0.0,-,1
636,U99999GJ1992PLC017197,Harsh Polymers (India) Limited,OC,Ahmedabad,Yes,2018-10-24,2019-09-26,0.05,0.0,0.05,0.0,-,1
637,U52100DL2007PLC161735,Santosh Overseas Limited,FC,New Delhi,Yes,2019-02-08,2019-09-27,622.56,622.56,,0.0,-,1
638,U55101DL2002PTC117205,Moods Hospitality Private Limited,FC,New Delhi,Yes,2018-08-30,2019-09-27,7.35,5.3,2.05,0.0,-,1
639,U45201DL1999PTC101672,Praveer Constructions Private Limited,FC,New Delhi,Yes,2018-10-15,2019-09-27,5.46,5.18,0.28,0.0,-,1
640,L67120WB1978PLC031561,Pincon Spirit Limited,OC,Kolkata,Yes,2018-07-19,2019-09-30,310.51,310.51,0,0.0,-,1
641,U60100WB2004PTC100396,Venkatesh Logistics Private Limited,FC,Kolkata,Yes,2019-08-19,2019-09-30,136.96,136.96,0,0.0,-,1
642,U29120GJ1990PLC014608,Mekaster Engineering Limited,OC,Ahmedabad,Yes,2017-08-04,2019-09-30,73.53,54.21,19.32,2.0,12.25,1
643,U24231GJ2004PTC043750,Osaka Pharmaceuticals Private Limited,OC,Ahmedabad,No,2018-10-10,2019-09-30,38.61,32.49,6.12,0.0,-,1
644,U72900PN2009PTC133731,Sakri IT Solutions Private Limited,OC,Mumbai,No,2018-08-07,2019-09-30,31.04,14.57,16.47,0.0,-,1
645,L01403GJ1996PLC030581,Shri Aster Silicates Limited,OC,Ahmedabad,Yes,2018-10-15,2019-10-01,239.26,198.76,40.5,0.0,-,1
646,U74999MH2007PLC169998,The Mobilestore Services Limited.,OC,Mumbai,Yes,2018-03-20,2019-10-01,91.77,74.29,17.48,0.0,-,1
647,U51420MH2005PTC156397,Tirupati Commodities Impex Private Limited,OC,Mumbai,Yes,2018-07-30,2019-10-01,85.05,82.3,2.75,0.0,-,1
648,U29309MH1989PTC051752,Sharp Knife Company Private Limited,FC,Mumbai,Yes,2019-01-21,2019-10-01,38.69,34.33,4.36,0.0,-,1
649,U51393RJ2001PTC016964,Guman Furniture and Services Private Limited,FC,Jaipur,Yes,2019-03-01,2019-10-01,16.27,16.27,0,0.0,-,1
650,U63040GJ2005PTC045256,ALPS Liesure Holidays Private Limited,FC,Ahmedabad,No,2018-11-13,2019-10-01,10.37,8.76,1.61,0.0,-,1
651,U80900TG2013PTC091468,Claps Wikids Education Private Limited,FC,Hyderabad,Yes,2018-12-03,2019-10-03,0.07,0.07,0,0.0,-,1
652,U40106WB2008PTC125570,Kohinoor Power Private Limited,OC,Kolkata,Yes,2018-08-03,2019-10-04,483.6,482.95,0.65,1.0,-,1
653,U15139GJ2008PLC053160,Khushi Foods Limited,OC,Ahmedabad,Yes,2018-11-02,2019-10-09,9.43,8.85,0.58,0.0,-,1
654,U45200MH2003PTC142541,Hanumesh Realtors Private Limited,FC,Mumbai,Yes,2018-12-06,2019-10-10,97.32,97.32,0,0.0,-,1
655,U45206MH2012PTC226492,Mithiya Developers Private Limited,FC,Mumbai,Yes,2018-12-06,2019-10-10,88.01,88.01,0,0.0,-,1
656,U55101MH2009PTC196311,Sigma Leisure Private Limited,FC,Mumbai,Yes,2018-12-06,2019-10-10,82.66,82.66,0,0.0,-,1
657,U74999DL1998PTC094908,Reliable Insupacks Private Limited,OC,New Delhi,Yes,2019-03-26,2019-10-11,7.17,7.17,0,2.0,-,1
658,L18101MH1997PLC111924,Provogue (India) Limited,FC,Mumbai,No,2018-07-25,2019-10-14,266.86,259.68,7.18,2.0,111.38,1
659,AAE7433,Zephyr Fabric Trading LLP,OC,Mumbai,Yes,2018-10-03,2019-10-14,28.12,26.78,1.34,2.0,6,1
660,U85195TG1987PTC007872,Yagmag Labs Pvt. Ltd.,OC,Hyderabad,Yes,2019-02-18,2019-10-14,3.21,0.0,3.21,0.0,-,1
661,L74999HR2000PLC040183,SRS Limited,FC,Chandigarh,No,2018-08-21,2019-10-15,1324.08,1142.86,181.22,3.0,85.19,1
662,U22212MH1983PLC029081,Anil Printers Limited,FC,Mumbai,Yes,2019-05-06,2019-10-15,190.96,95.48,95.48,0.0,-,1
663,U55101MH2003PTC142540,Yashaswini Leisure Private Limited,FC,Mumbai,Yes,2019-01-14,2019-10-16,111.68,111.68,0,0.0,-,1
664,U45202MH2010PTC200332,Aura Realtors Private Limited,FC,Mumbai,Yes,2019-01-14,2019-10-16,30.86,30.86,0,0.0,-,1
665,U27205WB2007PLC117111,Enfield Gems & Jewellery Limited,FC,Kolkata,Yes,2019-04-23,2019-10-16,29.99,29.99,0,0.0,-,1
666,U74999DL1994PTC061301,GTHS Retails Private Limited,OC,New Delhi,No,2017-08-03,2019-10-16,0.0,,,0.0,-,1
667,L27109TG2004PLC042375,BS Limited,FC,Hyderabad,No,2018-11-01,2019-10-17,2561.3900000000003,2341.82,219.57,1.0,220,1
668,U18101HR2008PLC037781,OSIL Exports Limited,FC,Chandigarh,No,2018-01-31,2019-10-17,238.85,224.16,14.69,3.0,51,1
669,U27310TG2007PTC056342,Vedika Steels Private Limited,OC,Hyderabad,Yes,2018-11-01,2019-10-17,158.29,0.0,158.29,0.0,-,1
670,U27109DL1999PTC099785,Vibha Overseas Exim Private Limited,CD,New Delhi,Yes,2018-12-05,2019-10-17,149.82,149.82,0,0.0,-,1
671,U21010MH2000PTC128750,Jejani Pulp and Paper Mills Private Limited,FC,Mumbai,Yes,2018-06-22,2019-10-18,20.92,17.0,3.92,1.0,6.97,1
672,L26109KL1970PLC002289,Excel Glasses Ltd,FC,Chennai,Yes,2019-03-26,2019-10-21,155.66,152.18,3.48,0.0,-,1
673,U74900TN2011PTC079473,RL Logistics Private Limited,FC,Chennai,No,2019-02-27,2019-10-21,7.74,7.24,0.5,0.0,-,1
674,U17120WB2008PTC131352,Debi Fabtech Private Limited,FC,Kolkata,Yes,2019-04-25,2019-10-21,2.05,2.05,0,0.0,-,1
675,U70100WB2012PTC188063,OSPL Infradeal Private Limited,FC,Kolkata,No,2019-02-15,2019-10-22,489.57,489.57,0,0.0,-,1
676,U27109MH2006PLC164182,Western India Metal Processors Limited,OC,Mumbai,Yes,2019-03-13,2019-10-22,118.9,107.75,11.15,0.0,-,1
677,U45203AP2010PTC070070,Sunshine Infraengineers India Private Limited,OC,Hyderabad,No,2018-12-12,2019-10-22,100.53,84.92,15.61,0.0,-,1
678,U63090MH2003PTC138507,RRC International Freight Services Limited,FC,Mumbai,Yes,2018-12-26,2019-10-22,29.93,28.75,1.18,0.0,-,1
679,U18209TN1988PTC015254,R R Leather Products Private Limited,OC,Chennai,Yes,2019-04-09,2019-10-22,25.34,9.49,15.85,0.0,-,1
680,U01403CT2007PLC020179,Monnet Power Company Limited,FC,Mumbai,No,2018-02-23,2019-10-23,6854.040000000001,5859.52,994.52,1.0,-,1
681,U24110DN2010PTC000420,UIC Corporation Private Limited,CD,Ahmedabad,Yes,2019-02-19,2019-10-23,155.63,155.5,0.13,0.0,-,1
682,U51101GJ1988PTC011688,Shree Vinayak Foods & Fabrics Private Limited,FC,Ahmedabad,Yes,2018-02-21,2019-10-23,15.14,15.14,0,1.0,2,1
683,U45202MH2011PTC213358,Natconn Engineering Private Limited,FC,Mumbai,Yes,2018-10-03,2019-10-24,0.34,0.34,0,0.0,-,1
684,L65991TN1991PLC020783,Surana Corporation Limited,FC,Chennai,Yes,2018-10-05,2019-10-25,2527.4,2484.67,42.73,0.0,-,1
685,U45203KA2007PTC042995,Fortuna Projects (India) Private Limited,FC,Bengaluru,Yes,2019-08-09,2019-10-25,155.82,123.06,32.76,0.0,-,1
686,U93000DL2014PTC264313,Macro Commerce Private Limited,OC,New Delhi,No,2017-11-29,2019-10-25,6.62,,6.62,1.0,-,1
687,U29199TN2004PLC078244,Victory Transformers and Switchgears Limited,FC,Chennai,Yes,2019-05-01,2019-10-29,405.69,401.93,3.76,2.0,21.61,1
688,U32202DL1997PTC085074,MAS Project Engineers Private Limited,OC,New Delhi,Yes,2019-04-16,2019-10-30,10.75,2.76,7.99,0.0,-,1
689,U74899DL1996PTC078265,Jambu Knits Private Limited,FC,New Delhi,Yes,2018-08-21,2019-10-30,6.14,6.14,,0.0,-,1
690,L74899DL1989PLC036474,Moving Picture Company (India) Limited,FC,New Delhi,Yes,2019-06-11,2019-10-30,0.27,0.27,0,0.0,-,1
691,U31501DL2005PTC140073,Compact Lamps Private Limited,OC,New Delhi,Yes,2019-01-11,2019-10-31,260.02,241.2,18.82,0.0,-,1
692,U72200TG1999PLC032556,Taksheel Solutions Limited,OC,Hyderabad,Yes,2019-04-08,2019-10-31,26.04,25.95,0.09,0.0,-,1
693,U15138PB2003PLC026185,Satnam Agri Products Limited,CD,Chandigarh,Yes,2018-10-05,2019-11-01,147.19,131.94,15.25,0.0,-,1
694,U15122DL2014PTC266906,Shri Shyamji Agrico Exports Private Limited,FC,New Delhi,Yes,2019-01-02,2019-11-05,22.73,22.73,,1.0,5,1
695,U74899DL2000PLC103752,Case Cold Roll Forming Limited.,FC,New Delhi,No,2018-12-11,2019-11-05,15.75,1.36,14.39,1.0,26,1
696,U29219TG1987PLC007207,Turbomachinery Engineering Industries Limited,FC,Hyderabad,Yes,2018-10-10,2019-11-06,676.5500000000001,660.58,15.97,2.0,-,1
697,U27101MH2004PTC147538,Maa Mahamaya Steels Private Limited,OC,Mumbai,Yes,2018-10-29,2019-11-06,13.78,6.91,6.87,1.0,0.85,1
698,U51909WB2008PTC130190,Sarswati Sales Private Limited,FC,Kolkata,No,2019-06-24,2019-11-07,0.75,0.75,0,0.0,-,1
699,U85110KA1997PTC022128,IDEB Projects Private Limited,FC,Bengaluru,No,2019-03-29,2019-11-08,1737.41,1522.24,215.17,1.0,106.05,1
700,U45400WB2007PTC118777,Right Towers Private Limited,FC,Kolkata,Yes,2019-07-24,2019-11-08,144.44,144.44,0,0.0,-,1
701,U51909DL2008PTC183736,Sterling Vehicle and General Sales Private Limited,FC,New Delhi,Yes,2019-02-26,2019-11-08,88.67,73.59,15.08,0.0,-,1
702,U66000WB2009PLC137113,Prism Infracon Limited,FC,Kolkata,Yes,2018-07-03,2019-11-08,25.0,25.0,0,0.0,-,1
703,U45400UP2009PTC038402,U.P.Infraestate Private Limited,FC,Allahabad,Yes,2018-12-13,2019-11-08,13.01,12.25,0.76,0.0,-,1
704,U31109KA1997PTC022384,GNB Technologies (india) Private Limited,CD,Bengaluru,Yes,2019-11-08,2019-11-08,0.0,,,0.0,-,1
705,U74930TG2010PTC066739,Smartec Build Systems Private Limited,OC,Hyderabad,Yes,2019-03-29,2019-11-13,1.34,1.08,0.26,0.0,-,1
706,U92110MH2002PTC136304,VNV Productions PrivateLimited,OC,Mumbai,Yes,2018-04-05,2019-11-14,27.91,0.0,27.91,0.0,-,1
707,U74120MH2012PTC230510,Oneworld Industries Private Limited,OC,Mumbai,No,2018-11-16,2019-11-15,154.88,147.04,7.84,1.0,-,1
708,U74900KA2015PTC082070,Balodis Technologies Private Limited,CD,Bengaluru,No,2019-05-28,2019-11-15,0.71,0.0,0.71,0.0,-,1
709,U29105DL2005PTC143271,Arjun Ispat India Private Limited,OC,New Delhi,Yes,2019-01-02,2019-11-18,43.010000000000005,41.84,1.17,0.0,-,1
710,U55101DL2009PTC187886,Khullar Hospitality Private Limited,FC,New Delhi,Yes,2019-05-08,2019-11-18,6.2,3.5,2.7,0.0,-,1
711,U18100PB1996PTC017796,Sahil International Private Limited,OC,Chandigarh,Yes,2019-01-21,2019-11-18,1.16,,1.16,0.0,-,1
712,U31909TN2000PLC078301,Victory Electricals Limited,OC,Chennai,Yes,2019-04-10,2019-11-19,742.93,741.38,1.55,1.0,9.29,1
713,U74899DL1994PTC059163,Saurabh (India) Private Limited,OC,New Delhi,Yes,2019-05-22,2019-11-19,72.42,72.09,0.33,0.0,-,1
714,L29308GJ1976PLC002889,Org Informatics Limited,OC,Ahmedabad,Yes,2018-11-27,2019-11-20,321.85,294.86,26.99,0.0,-,1
715,U63022TG2001PLC037135,Sriramagiri Spinning Mills Limited,FC,Hyderabad,Yes,2018-12-04,2019-11-20,80.74,80.74,0,0.0,-,1
716,U15312UP2008PTC035912,R.B. Rice Mill Private Limited,OC,Allahabad,Yes,2018-05-10,2019-11-20,24.62,8.98,15.64,0.0,-,1
717,U45200KA2013PTC071049,Pranee Infrastructures Private Limited,OC,Bengaluru,No,2019-07-16,2019-11-20,19.29,14.56,4.73,0.0,-,1
718,U52300DL2011PTC214087,IE Trading Company Private Limited,OC,New Delhi,Yes,2018-07-13,2019-11-21,1.42,0.0,1.42,0.0,-,1
719,U27100CT2009PTC021208,BIW Fabricators Private Limited,OC,Mumbai,Yes,2019-01-14,2019-11-22,28.82,27.34,1.48,0.0,-,1
720,U50101DL2003PTC123777,Marketing Times Automobiles Private Limited,OC,New Delhi,Yes,2018-11-14,2019-11-25,79.15,75.73,3.42,0.0,-,1
721,U24230MH2002PTC136393,Fortune Pharma Private Limited,CD,Mumbai,Yes,2017-08-28,2019-11-25,32.69,31.44,1.25,2.0,-,1
722,U36997TN2010PTC075005,Sun Brushware Private Limited,FC,Chennai,Yes,2019-02-26,2019-11-25,12.57,3.28,9.29,0.0,-,1
723,U74200TN1991PLC020999,ST.John Freight Systems Limited,FC,Chennai,No,2018-12-10,2019-11-26,370.93,297.4,73.53,1.0,242,1
724,U45400TG2007PTC053664,Minerva Executive Apartments Private Limited,FC,Hyderabad,Yes,2019-03-05,2019-11-26,206.06,197.54,8.52,0.0,-,1
725,U51900DL1993PLC052248,Khairwala International Limited,OC,New Delhi,Yes,2019-05-09,2019-11-26,67.3,40.43,26.87,0.0,-,1
726,U24123TG2004PTC043365,Eterna Life Sciences Private Limited,FC,Hyderabad,Yes,2019-03-18,2019-11-26,44.85,44.85,0,0.0,-,1
727,L23200TG2010PLC071242,Nagarjuna Oil Refinery Limited,FC,Hyderabad,No,2019-04-09,2019-11-26,19.9,18.86,1.04,0.0,-,1
728,U70101TN2007PTC064688,Deepsea Developers Private Limited,FC,Chennai,Yes,2019-03-18,2019-11-26,18.62,18.62,0,0.0,-,1
729,U27102KA2003PTC032717,Benaka Sponge Iron Private Limited,OC,Bengaluru,Yes,2019-03-07,2019-11-26,17.08,0.0,17.08,0.0,-,1
730,U31500DL2011PTC220030,S3 Electrical & Electronics Private Limited,FC,New Delhi,Yes,2019-04-03,2019-11-26,11.13,6.09,5.04,0.0,-,1
731,U22190AP2014PTC095538,Sanny Digital Communications Private Limited,OC,Hyderabad,Yes,2019-06-20,2019-11-26,2.3,0.0,2.3,0.0,-,1
732,U22300MH2015PTC264764,Fearless Media Private Limited,OC,Mumbai,Yes,2019-08-16,2019-11-26,0.52,0.0,0.52,0.0,-,1
733,U40104TG2007PLC054207,Lanco Babandh Power Limited,FC,Hyderabad,No,2018-08-29,2019-11-27,8427.65,8217.4,210.25,1.0,-,1
734,U45201DL1996PTC079040,Wig Brothers Construction Private Limited,OC,New Delhi,Yes,2018-07-09,2019-11-27,26.67,22.76,3.91,0.0,-,1
735,U15139GJ2010PTC059639,Shree Padmavati Sortex Private Limited,FC,Ahmedabad,Yes,2019-03-29,2019-11-27,21.98,21.98,0,0.0,-,1
736,L32109DL1986PLC026273,Noesis Industries Limited,OC,New Delhi,Yes,2018-09-28,2019-11-28,496.97,496.97,0,2.0,7.31,1
737,U74300TZ2008PTC014844,Xedon Media Private Limited,FC,Chennai,No,2019-03-11,2019-11-28,5.06,5.06,0,0.0,-,1
738,U01122RJ2011PTC036434,Ojasvi Agritech Private Limited,OC,Jaipur,Yes,2019-07-19,2019-11-28,1.55,1.52,0.03,0.0,-,1
739,U21012TZ2007PTC013362,Naachiar Paper Boards Private Limited,OC,Chennai,No,2017-12-20,2019-11-29,44.55,42.56,1.99,1.0,-,1
740,U31300WB1994PLC062517,Venkateswara Capital Management Limited,FC,Kolkata,No,2019-03-05,2019-11-29,24.25,24.25,0,0.0,-,1
741,U52392TG1996PTC023934,Ceeyes Software Technologies Private Limited,OC,Hyderabad,Yes,2019-02-13,2019-11-29,0.11,0.0,0.11,0.0,-,1
742,U74899DL1995PLC068152,Century Communication Limited and Ors,FC,New Delhi,Yes,2018-10-04,2019-12-03,3513.59,3509.09,4.5,0.0,-,1
743,U74899DL1995PLC072507,Era Housing and Developers India Limited,FC,New Delhi,Yes,2018-02-08,2019-12-03,229.36,229.36,0,0.0,-,1
744,U51909DL1986PTC024201,Sumeru Processors Private Limited,FC,New Delhi,No,2019-04-15,2019-12-03,32.548,32.5,0.048,0.0,-,1
745,U63000DL2015PTC283120,Vipul Travels Private Limited,OC,New Delhi,Yes,2019-04-30,2019-12-03,7.29,0.0,7.29,0.0,-,1
746,U63000DL2011PTC215344,Satkar Air Cargo Services Private Limited,FC,New Delhi,Yes,2019-08-09,2019-12-03,0.65,0.65,0,0.0,-,1
747,U74900TG2014PTC095806,Sri Maruthi Digitals Private Limited,OC,Hyderabad,Yes,2019-06-20,2019-12-03,0.24,0.0,0.24,0.0,-,1
748,U63090DL2011PLC214836,Satkar Terminals Limited,OC,New Delhi,Yes,2019-09-03,2019-12-03,0.08,0.0,0.08,0.0,-,1
749,U74140MH2010PTC204077,Atharva Advisory Services Private Limited,FC,Mumbai,Yes,2018-11-27,2019-12-04,246.13,246.13,0,0.0,-,1
750,L51909GJ1996PLC031163,Oasis Tradelink Limited,OC,Ahmedabad,Yes,2019-02-26,2019-12-04,58.07,40.29,17.78,1.0,0.33,1
751,U18101KA2008PTC045542,Pink Rose Lingerie Private Limited,OC,Bengaluru,No,2019-02-04,2019-12-04,54.16,13.53,40.63,0.0,-,1
752,U99999DL1997PTC084864,Kashyap Motors India Private Limited,FC,New Delhi,Yes,2019-03-05,2019-12-04,22.28,21.35,0.93,0.0,-,1
753,U31401MH2011PTC217857,VB Power Private Limited,OC,Mumbai,Yes,2019-02-05,2019-12-04,1.79,1.65,0.14,0.0,-,1
754,U32100GJ1997PTC032724,Atrium Infocomm Private Limited,OC,Ahmedabad,Yes,2019-07-10,2019-12-05,452.83,226.28,226.55,0.0,-,1
755,U51900MH1991PTC064055,Suchetan Exports P.Ltd.,OC,Mumbai,Yes,2018-10-09,2019-12-05,39.2,0.0,39.2,0.0,-,1
756,U64200MH2008PTC187859,Appsdaily Solutions Private Limited,OC,Mumbai,Yes,2018-10-23,2019-12-05,24.25,20.09,4.16,0.0,-,1
757,U28112MH2008PTC183006,Fibertech Infracon Private Limited,FC,Mumbai,Yes,2019-01-17,2019-12-05,4.58,4.58,0,0.0,-,1
758,U17210HR2012PTC045441,Anandtex International Private Limited,OC,Chandigarh,Yes,2019-02-20,2019-12-06,166.56,149.92,16.64,0.0,-,1
759,U30006KL2007PLC021216,Unitek Power Solutions India Limited,FC,Chennai,Yes,2019-01-01,2019-12-06,27.65,27.26,0.39,0.0,-,1
760,U74900TG2002PLC039366,Sristek Clinical Research Solutions Limited,OC,Hyderabad,Yes,2019-02-14,2019-12-06,1.74,0.0,1.74,6.0,1,1
761,U15143CT2004PTC016925,Shiv Shankar Solvent Extractions Private Limited,FC,Cuttack,Yes,2019-09-04,2019-12-09,45.53,45.53,,0.0,-,1
762,U17121GJ2006PTC048344,Bhoomi Ginning Pressing Private Limited,CD,Ahmedabad,Yes,2019-04-04,2019-12-09,18.6,18.6,0,0.0,-,1
763,U45202KA2011PTC056969,Bhuvana Infra Projects Private Limited,FC,Bengaluru,No,2018-01-17,2019-12-10,45.09,15.1,29.99,0.0,-,1
764,U25209TN1995PLC032408,STT Limited,OC,Chennai,Yes,2019-08-30,2019-12-10,11.4,8.13,3.27,0.0,-,1
765,U23109WB2003PLC097375,Bharat NRE Coke Limited,FC,Kolkata,No,2019-03-11,2019-12-11,2728.38,2728.38,0,1.0,9,1
766,U45201GJ2010PTC061039,Snehdaxa Infrastructure Private Limited,OC,Ahmedabad,Yes,2019-02-06,2019-12-11,5.779999999999999,5.52,0.26,0.0,-,1
767,U35111GA1991PTC001139,Pinky Shipyard Private Limited,FC,Mumbai,Yes,2018-07-31,2019-12-12,10700.7,10696.21,4.49,0.0,-,1
768,L17111PB1955PLC001884,Oswal Spinning and Weaving Mills Limited,FC,Chandigarh,Yes,2018-10-30,2019-12-13,160.92,155.92,5,0.0,-,1
769,U74992TN2006PTC061625,Perfect International Fabrications Private Limited,OC,Chennai,Yes,2019-04-29,2019-12-13,16.75,13.21,3.54,0.0,-,1
770,U85100MH2015PTC263571,Krishnai Hospital Private Limited,OC,Mumbai,No,2019-02-12,2019-12-13,12.489999999999998,12.04,0.45,0.0,-,1
771,U04010CT1995PLC010142,Vandana Vidhyut Limited,FC,Mumbai,No,2018-04-26,2019-12-16,2900.16,2815.77,84.39,0.0,-,1
772,U85194KL2013PTC035127,Raihan Healthcare Private Limited,FC,Chennai,No,2019-03-20,2019-12-16,45.86,39.37,6.49,1.0,-,1
773,U18101MH2006PTC164471,IDT Clothing Private Limited,OC,Mumbai,Yes,2019-01-28,2019-12-16,17.74,15.51,2.23,0.0,-,1
774,U85110TN1988PTC015367,Santosh Hospitals Private Limited,CD,Chennai,Yes,2019-04-08,2019-12-17,135.83,135.83,0,0.0,-,1
775,U92100MH2004PLC145070,Mi Marathi Media Limited,OC,Mumbai,Yes,2019-01-07,2019-12-17,10.26,10.26,0,0.0,-,1
776,U15312PB1995PLC015550,Punjab Basmati Rice Limited,CD,Chandigarh,Yes,2019-02-18,2019-12-18,311.86,311.84,0.02,0.0,-,1
777,U72200KA2001PTC028381,Glopore IM Services Private Limited,CD,Bengaluru,Yes,2019-06-26,2019-12-18,12.29,2.85,9.44,0.0,-,1
778,U15540MH2000PTC125779,Luthra Water Systems Private Limited,FC,Mumbai,Yes,2017-11-15,2019-12-18,6.41,6.41,,0.0,-,1
779,U70200DL2012PTC233903,Yamuna Infradevelopers Private Limited,FC,New Delhi,No,2019-05-01,2019-12-18,5.62,2.81,2.81,0.0,-,1
780,L15400GJ1992PLC017626,Vimal Oil & Foods Ltd,FC,Ahmedabad,No,2017-12-19,2019-12-19,862.16,862.16,0,3.0,125,1
781,U85110KA1995PLC018746,Chincholi Sugar & Bio Industries Limited,FC,Bengaluru,Yes,2019-03-15,2019-12-19,544.1,543.14,0.96,1.0,46.25,1
782,U92199TZ1995PTC005954,Maharaja Theme Parks and Resorts Private Limited,FC,Chennai,No,2019-04-08,2019-12-19,238.64,238.64,,0.0,-,1
783,U17110GJ1986PTC008841,Gupta Dyeing and Printing Mills Private Limited,OC,Ahmedabad,Yes,2019-02-06,2019-12-19,115.19,92.73,22.46,0.0,-,1
784,U55101MH2003PTC143621,Mandakini Hospitality Private Limited,FC,Mumbai,Yes,2019-02-19,2019-12-19,108.73,108.73,,0.0,-,1
785,U45400MH2012PTC226265,Akund Buildcon Private Limited,FC,Mumbai,Yes,2019-02-19,2019-12-19,86.49,86.49,,0.0,-,1
786,U45200MH2003PTC142542,Akhilesh Developers Private Limited,FC,Mumbai,Yes,2019-02-19,2019-12-19,83.34,83.34,,0.0,-,1
787,U17111TN2004PTC054880,Sapphire Spinners India Private Limited,OC,Chennai,Yes,2019-01-25,2019-12-19,26.97,25.97,1,0.0,-,1
788,U17293TN1998PTC039948,Paramount Mills Private Limited,OC,Chennai,Yes,2019-03-20,2019-12-19,8.17,7.78,0.39,0.0,-,1
789,U18101DL1998PTC091759,Jot Impex Private Limited,OC,New Delhi,Yes,2019-05-14,2019-12-20,39.55,26.82,12.73,0.0,-,1
790,U40109TG2000PLC035160,Konark Power Project Limited,FC,Hyderabad,Yes,2018-08-28,2019-12-20,26.33,22.26,4.07,0.0,-,1
791,U63090WB2002PTC095166,Seajaan Logistics Private Limited,FC,Kolkata,Yes,2019-04-04,2019-12-20,0.16,0.16,0,0.0,-,1
792,U72200KA2006PTC040044,Quadra Software Solutions Private Limited,OC,Bengaluru,Yes,2019-06-25,2019-12-20,0.14,0.0,0.14,0.0,-,1
793,U41000TN2002PTC050091,Aqua Designs India Private Limited,FC,Chennai,No,2018-10-17,2019-12-23,236.85,139.37,97.48,1.0,43,1
794,U17301PB2007PTC030900,Rama Krishna Knitters Private Limited,FC,Chandigarh,Yes,2019-02-13,2019-12-24,352.61,267.8,84.81,1.0,20,1
795,U45400MH2007PTC234297,KSS Petron Private Limited,CD,Mumbai,No,2017-08-01,2019-12-27,1761.82,1347.33,414.49,2.0,149.5,1
796,L25114KA1973PLC002455,Falcon Tyres Limited,FC,Bengaluru,Yes,2018-05-01,2019-12-30,2150.8900000000003,1512.63,638.26,1.0,110,1
797,U74900TN2011PTC080403,Connexions Retail Stores Private Limited,OC,Chennai,No,2019-03-27,2019-12-30,53.35,42.24,11.11,0.0,-,1
798,U29221DL2012PTC236706,Clover Forging & Machining Private Limited,FC,New Delhi,No,2018-12-04,2020-01-02,1083.39,537.01,546.38,0.0,-,1
799,U29120DL1992PTC176351,Ujala Pumps Pvt. Ltd.,OC,New Delhi,Yes,2018-10-10,2020-01-02,84.85000000000001,64.54,20.31,2.0,7.97,1
800,U74140DL2003PTC118931,Kaliber Associates Private Limited,FC,New Delhi,Yes,2019-01-18,2020-01-02,42.27,42.27,0,0.0,-,1
801,U31101DL2005PLC211274,Essar Power (Jharkhand) Limited,FC,New Delhi,No,2018-04-05,2020-01-03,4392.97,4160.1,232.87,0.0,-,1
802,U51398TN2007PTC062970,Nathella Sampath Jewelry Private Limited,CD,Chennai,Yes,2018-04-23,2020-01-03,465.37,436.86,28.51,0.0,-,1
803,L99999DL1986PLC307282,Runeecha Textiles Limited,FC,New Delhi,Yes,2018-07-31,2020-01-03,82.96000000000001,82.42,0.54,0.0,-,1
804,U51900DL2012PTC246517,YS Marchandise International Private Limited,CD,New Delhi,Yes,2019-06-06,2020-01-03,4.04,0.68,3.36,0.0,-,1
805,U74900WB2009PTC135972,Puneet Ispat Private Limited,OC,Kolkata,Yes,2019-08-20,2020-01-03,0.06,0.0,0.06,0.0,-,1
806,U27109WB2003PLC096537,SPS Steels Limited,OC,Kolkata,No,2019-03-29,2020-01-06,101.61,40.85,60.76,0.0,-,1
807,U25209DL2006PLC154715,Newgen Specialtity Plastics Limited,OC,New Delhi,Yes,2018-11-19,2020-01-06,85.58000000000001,74.26,11.32,0.0,-,1
808,U09213KA2003PTC032578,Innovative Studios Private Limited,FC,Bengaluru,No,2019-04-11,2020-01-06,60.22,36.69,23.53,1.0,45,1
809,U74999DL2004PLC125846,Exclusive Fibers Limited,FC,New Delhi,No,2019-03-28,2020-01-07,56.55,55.46,1.09,1.0,14.24,1
810,U74899DL1990PTC042131,Alka Fabrics Private Limited,OC,New Delhi,Yes,2018-10-30,2020-01-07,26.76,26.11,0.65,0.0,-,1
811,AAA7837,Unishire Housing LLP,OC,Bengaluru,Yes,2019-07-31,2020-01-08,530.94,265.3,265.64,0.0,-,1
812,U15511DL1998PTC095431,Gagan Distillers and Beverages Private Limited,OC,New Delhi,Yes,2019-04-10,2020-01-08,22.75,22.75,0,0.0,-,1
813,U70101TN2000PTC044300,Jaydev Constructions Private Limited,OC,Chennai,Yes,2019-05-06,2020-01-08,5.44,4.93,0.51,0.0,-,1
814,U52100TZ2012PTC018483,Maruthi Food Processing and Agri Products Export (India) Private Limited,OC,Chennai,Yes,2019-06-21,2020-01-08,0.22,0.12,0.1,0.0,-,1
