Sl_No,CIN,Company_Name,Triggered_By,NCLT_Bench,Defunct,Date_Insolvency_Commencement,Date_Liquidation_Order,Total_Admitted_Claims,Admitted_Claims_FC,Admitted_Claims_OC,No_Resolution_Plans,Highest_Resolution_Value,Liquidation_Flag
2588,U24296MH2016PTC273687,Emerald Performance Chemical Private Limited,OC,Mumbai,No,2023-09-27,2024-08-01,11.5796474,10.1069667,1.4726807,0.0,-,1
2589,U45200GA2010PTC006437,Pai Khot Infra Private Limited,OC,Mumbai,Yes,2023-10-27,2024-08-19,1.0909017,0.0,1.0909017,0.0,-,1
2590,U51101MH2013PTC241360,Rushabh Lifestyle Private Limited,OC,Mumbai,Yes,2023-11-21,2024-08-02,8.6929879,7.7980511,0.8949368,0.0,-,1
2591,U13100WB2010PTC140900,Green Valley Energy Ventures Private Limited,OC,Kolkata,No,2024-01-25,2024-08-27,6.9726187,0.0,6.9726187,0.0,-,1
2592,U70100DL2011PTC215632,Kindle Developers Private Limited,FC,New Delhi,No,2018-03-09,2024-09-18,207.6499537,206.1007978,1.5491559,1.0,192.1700606,1
2593,L72200DL1985PLC022649,Net 4 India Limited,FC,New Delhi,Yes,2019-03-08,2024-09-20,472.7300114,449.3818146,23.3481968,1.0,4.509524477,1
2594,U40106RJ2007PTC024478,Ajit Solar Private Limited,FC,Jaipur,No,2019-04-26,2024-09-11,5.5299356,0.2706356,5.2593,0.0,-,1
2595,U40101AS2008PTC008829,Agnipa Energo Private Limited ,FC,Guwahati,Yes,2020-02-12,2024-08-30,12.1922964,11.5022964,0.69,1.0,3,1
2596,U24233UP2011PTC046921,Neelkanth Surgical Industries Private Limited ,FC,Allahabad,Yes,2020-02-27,2024-09-17,7.8642786,7.8642786,0,0.0,-,1
2597,U45400DL2007PTC169466,Sare Realty Projects Private Limited,OC,New Delhi,No,2021-03-05,2024-09-09,1386.0375296,1384.8225406,1.214989,0.0,-,1
2598,U74900MH2011PTC221879,Alliance Restaurant & Bars Private Limited,CD,Mumbai,Yes,2021-06-25,2024-09-04,5.6328285,5.6328285,0,0.0,-,1
2599,U28930TG2013PTC089403,Ssb Structural & Galvanising Private Limited,OC,Hyderabad,Yes,2021-07-28,2024-09-19,10.3976901,1.3309441,9.066746,0.0,-,1
2600,U51103TN1998PTC041085,Star Trace Private Limited,OC,Chennai,Yes,2021-08-09,2024-08-09,34.0998913,24.9126949,9.1871964,0.0,-,1
2601,U51909DL2008PTC176155,Worlds Window Trading Private Limited,FC,New Delhi,Yes,2022-01-07,2024-09-19,83.3850176,83.3850176,0,0.0,-,1
2602,U72900PN2014PTC150675,Welkin It Services Private Limited,OC,Mumbai,Yes,2022-07-14,2024-09-05,16.0979679,13.0793837,3.0185842,0.0,-,1
2603,U74999TG1995PLC020915,Ravi Cranes And Movers Limited,FC,Hyderabad,No,2022-09-26,2024-09-27,229.5683248,229.5683248,0,0.0,-,1
2604,U85100MH2009PTC189966,Gorgeous Skin Private Limited,OC,Mumbai,Yes,2022-11-11,2024-08-08,0.0,0.0,0,0.0,-,1
2605,U15410WB2012PTC177072,Yummz Foods Private Limited,FC,Kolkata,No,2022-11-17,2024-09-18,29.6185172,29.5692277,0.0492895,1.0,5.9,1
2606,U99999PN1993PTC073083,Aegis Medicines Pvt Ltd,FC,Mumbai,Yes,2022-11-25,2024-08-29,80.012443,80.012443,0,1.0,4.75,1
2607,U00060DL2005PTC140771,Sheen India Private Limited,FC,New Delhi,Yes,2023-01-30,2024-09-11,57.6135357,56.9063688,0.7071669,0.0,-,1
2608,U74110MH1998PTC117707,Pik Resource India Private Limited,OC,Mumbai,No,2023-02-06,2024-08-30,65.2450812,42.7323995,22.5126817,1.0,17.459749,1
2609,U63090GJ2002PTC040918,Rajkamal Logistic Private Limited,FC,Ahmedabad,Yes,2023-02-07,2024-09-26,0.0,0.0,0,0.0,-,1
2610,U17115PB1989PLC009524,Sohrab Spinning Mills Limited,FC,Chandigarh,Yes,2023-02-22,2024-07-03,46.4112418,46.0865466,0.3246952,4.0,3.5,1
2611,U27310MH2011PTC215149,Jans Copper Private Limited,OC,Mumbai,No,2023-02-24,2024-08-13,25.0299309,20.1048708,4.9250601,1.0,7.45,1
2612,U01403TG2007PLC054391,G S Biotech Limited,FC,Hyderabad,Yes,2023-03-24,2024-09-13,858.1036935,858.1036935,0,1.0,41.18,1
2613,U15122TG1995PLC019470,Megafin Securities Limited,FC,Hyderabad,Yes,2023-04-11,2024-01-09,666.246332,666.246332,0,0.0,-,1
2614,U17110MH1993PTC073129,Paharia Textile Mills Private Limited*,CD,Mumbai,,2023-05-16,2024-09-24,,,,,,1
2615,U26960GJ2013PTC076853,Spel Granito Private Limited,OC,Ahmedabad,Yes,2023-05-19,2024-09-12,14.6379572,9.2563634,5.3815938,0.0,-,1
2616,U74899DL1991PTC043305,Mittal Lumber Private Limited,CD,New Delhi,Yes,2023-05-24,2024-09-02,15.0569131,15.0569131,0,0.0,-,1
2617,U21011TG1979PLC002475,Impact Metals Limited,FC,Hyderabad,Yes,2023-05-25,2024-07-12,26.9499856,24.5984332,2.3515524,0.0,-,1
2618,U45203GJ2003PLC062049,Neesa Infrastructure Limited,FC,Ahmedabad,Yes,2023-06-19,2024-09-26,519.0574157,420.8754698,98.1819459,1.0,8,1
2619,U45201MH2014PTC253842,Latakisan Constructions Private Limited,FC,Mumbai,No,2023-06-23,2024-08-14,10.7665621,10.7665621,0,0.0,-,1
2620,U45309MH2012PTC235800,Vindhyavasini Buildcon Private Limited,FC,Mumbai,Yes,2023-07-11,2024-09-24,355.6447053,355.6447053,0,0.0,-,1
2621,U64204MH2017PTC295430,Arkcom Telecommunications Private Limited,CD,Mumbai,Yes,2023-07-25,2024-08-29,2.5230816000000003,0.4559285,2.0671531,0.0,-,1
2622,U74899DL1991PTC044061,Jain Timber Co Private Limited,CD,New Delhi,Yes,2023-08-04,2024-09-25,29.4571719,29.4571719,0,0.0,-,1
2623,U27300MH1989PTC054062,Tirupati Fabricators P Ltd,FC,Mumbai,Yes,2023-10-06,2024-09-24,0.0,0.0,0,0.0,-,1
2624,U51909TN2011PTC083725,Sudha Siva Traders Private Limited,OC,Chennai,Yes,2023-11-17,2024-09-12,41.1427827,0.0,41.1427827,0.0,-,1
2625,U92490MH2019PTC320701,Armsprime Media Private Limited,CD,Mumbai,Yes,2023-11-22,2024-09-19,0.3015984,0.0,0.3015984,0.0,-,1
2626,U26914GJ1999PTC036237,Vrundavan Ceramic Private Limited,FC,Ahmedabad,No,2020-01-21,2024-09-27,110.1478186,50.8279524,59.3198662,3.0,12.9147112,1
2627,U27109GA2009PTC006107,Ambey Vaishno Steels Private Limited,CD,Mumbai,Yes,2023-05-17,2024-09-05,97.4850618,74.7202559,22.7648059,0.0,-,1
2628,U15400MH2009PTC197070,Three Leaf Foods Private Limited,FC,Chandigarh,Yes,2023-08-18,2024-09-26,9.631064,9.631064,0,0.0,-,1
2629,U74140DL2008PTC183856,Phonic Online Private Limited,CD,New Delhi,No,2024-01-11,2024-09-04,1.1976548,0.9982159,0.1994389,0.0,-,1
2630,U70101DL2000PTC105289,Aerens Jai Realty Private Limited,OC,New Delhi,No,2023-05-30,2024-10-01,21.9127283,3.7719392,18.1407891,0.0,-,1
